business_type,service_1,service_2,industry_focus
veterinary,Website Development,Automation Packages,Veterinary Clinics
pet_grooming,Branding Services,Social Media Marketing,Pet Grooming
pet_training,Website Development,Chatbot Development,Dog Training
pet_boarding,Website Development,Payment Gateway Integration,Pet Boarding
pet_daycare,Automation Packages,Social Media Marketing,Pet Daycare
pet_supplies,Website Development,Payment Gateway Integration,Pet Retail
animal_rescue,Website Development,Social Media Marketing,Animal Welfare
pet_photography,Branding Services,Website Development,Pet Photography
mobile_vet,Chatbot Development,Automation Packages,Mobile Veterinary
pet_sitting,Website Development,Chatbot Development,Pet Sitting Services
