business_type,service_1,service_2,industry_focus
gym,Website Development,Automation Packages,Fitness Centers
personal_trainer,Branding Services,Website Development,Personal Training
yoga_studio,Website Development,Social Media Marketing,Yoga Studios
crossfit,Social Media Marketing,Chatbot Development,CrossFit Gyms
pilates,Website Development,Payment Gateway Integration,Pilates Studios
nutrition,Branding Services,Website Development,Nutrition Coaching
fitness_coaching,Chatbot Development,Automation Packages,Online Coaching
martial_arts,Website Development,Social Media Marketing,Martial Arts
dance_studio,Social Media Marketing,Website Development,Dance Studios
wellness_center,Website Development,Automation Packages,Wellness Centers
