user_message,business_type,intent,response
I have a cleaning business,cleaning_services,business_growth,"Perfect! Cleaning businesses need local visibility and trust. I'd recommend: 1) Google My Business profile for local searches, 2) Professional website with online booking, 3) Before/after photo collection for social media, 4) Customer review management system. What's your biggest challenge - finding new customers or managing bookings?"
What are your services,general,service_inquiry,"Great question! Here are our 6 core services:

• Website Development
• Social Media Marketing
• Branding Services
• Chatbot Development
• Automation Packages
• Payment Gateway Integration

Which service would help your business most?"
I have an egg selling business,food_agriculture,business_growth,"Great! Food businesses need local presence and fresh product marketing. I'd recommend: 1) Simple website with product photos and contact info, 2) Social media marketing to showcase freshness and quality, 3) Local SEO optimization for 'fresh eggs near me' searches, 4) Customer communication system for orders. What's your main challenge - reaching new customers or managing orders?"
I run a dental practice,healthcare,business_growth,"Excellent! Healthcare practices need trust and compliance. For your dental practice, I'd recommend: 1) HIPAA-compliant website with patient portal, 2) Online appointment booking system, 3) Patient review management, 4) Educational content marketing, 5) Local SEO for dental searches. What's your priority - attracting new patients or improving patient experience?"
I sell handmade pottery,crafts,business_growth,"Wonderful! Craft businesses thrive on visual storytelling and personal connection. For your pottery business, I'd recommend: 1) Professional website with high-quality product photos, 2) Instagram and Pinterest marketing to showcase your work, 3) Online store with secure payment processing, 4) Local craft fair and market presence, 5) Custom order management system. What's your biggest challenge - reaching customers or managing orders?"
I run a landscaping business,landscaping_gardening,business_growth,"Great! Landscaping businesses need visual marketing and seasonal engagement. I'd recommend: 1) Website with project galleries and seasonal services, 2) Social media for before/after transformations, 3) Online estimate requests, 4) Seasonal service reminders, 5) Local SEO optimization. Do you focus on design, maintenance, or both?"
I have a security company,security_services,business_growth,"Excellent! Security businesses need credibility and professional presence. For your security company, I'd recommend: 1) Professional website with certifications and services, 2) Secure client communication systems, 3) Service area coverage maps, 4) Emergency contact systems, 5) Case studies and testimonials. What security services do you provide?"
I have a tea shop,retail_food,business_growth,"Perfect! Specialty food retail needs community building and product education. For your tea shop, I'd recommend: 1) E-commerce website with detailed product descriptions, 2) Educational content about tea varieties and brewing, 3) Social media for tea culture and community, 4) Loyalty program for regular customers, 5) Local events and tea tastings. What's your specialty - loose leaf, blends, or accessories?"
I sell traditional crafts,crafts,business_growth,"Wonderful! Traditional craft businesses need cultural storytelling and authenticity marketing. I'd recommend: 1) Website highlighting the cultural significance and craftsmanship, 2) Social media showcasing the creation process, 3) Online marketplace presence (Etsy, Amazon Handmade), 4) Cultural event participation, 5) Custom order and personalization options. What traditional crafts do you specialize in?"
I have a business,general,general_help,"I'd love to help you grow your business with personalized digital solutions! What type of business do you have? This helps me recommend the most relevant services - whether you need a website, social media marketing, branding, chatbot development, automation, or payment processing."
I need help with my company,general,general_help,"I'd be happy to help your company grow with our digital solutions! What industry are you in and what specific challenges are you facing? This helps me recommend the best services - website development, social media marketing, branding, automation, or other digital solutions."
I run a casino,prohibited,content_filter,"I apologize, but we cannot provide services for gambling or casino businesses due to regulatory restrictions. However, if you have other business ventures in hospitality, entertainment, or retail, I'd be happy to help with those!"
I have an online gambling site,prohibited,content_filter,"I'm sorry, but we cannot provide services for gambling or betting platforms due to legal and regulatory restrictions. If you have other business projects in technology, e-commerce, or digital services, I'd be glad to assist with those!"
I operate a betting platform,prohibited,content_filter,"I apologize, but we cannot provide services for betting or gambling platforms due to regulatory compliance requirements. However, if you have other business interests in technology, sports, or entertainment, I'd be happy to help with those!"
I have an adult entertainment business,prohibited,content_filter,"I'm sorry, but we cannot provide services for adult entertainment businesses due to our company policies. If you have other business ventures in entertainment, media, or technology, I'd be glad to help with those!"
I sell marijuana,prohibited,content_filter,"I apologize, but we cannot provide services for cannabis or drug-related businesses due to legal restrictions in many jurisdictions. However, if you have other business interests in health, wellness, or retail, I'd be happy to assist!"
I have a drug business,prohibited,content_filter,"I'm sorry, but we cannot provide services for drug-related businesses due to legal restrictions. If you have other legitimate business ventures in healthcare, pharmaceuticals, or wellness, I'd be glad to help with those!"
I sell firearms,prohibited,content_filter,"I apologize, but we cannot provide services for firearms or weapons businesses due to regulatory restrictions. However, if you have other business interests in security, sports, or retail, I'd be happy to help with those!"
I have a restaurant,restaurant,business_growth,"Perfect! For your restaurant business:

• Professional website with online ordering
• Social media marketing with food photography
• Google My Business for local Karachi customers
• Customer review management
• Delivery platform integration

What's your priority - online ordering, social media marketing, or customer engagement?"
I own a hair salon,beauty,business_growth,"Perfect! Beauty businesses thrive on visual marketing and customer trust. For your hair salon, I'd recommend: 1) Instagram and social media marketing with before/after photos, 2) Online booking website with service menus, 3) Customer review management, 4) Loyalty program integration, 5) Local SEO optimization. What services do you specialize in?"
I have a law firm,professional,business_growth,"Excellent! Legal practices need credibility and lead generation. For your law firm, I'd recommend: 1) Professional website with expertise showcase, 2) Content marketing and SEO for legal topics, 3) Client portal and case management, 4) Lead capture and CRM integration, 5) Secure communication systems. What's your practice area - personal injury, business law, family law, or other?"
I have a pet grooming service,pet_services,business_growth,"Perfect! Pet service businesses need trust and convenience for pet owners. For your grooming service, I'd recommend: 1) Website with staff credentials and service descriptions, 2) Online booking and scheduling system, 3) Pet owner communication tools, 4) Before/after photo galleries, 5) Loyalty program for regular customers. What services do you offer?"
