"user_input,intent,entities,bot_response"
"what is your location,ask_location,,""We are based in New York, USA, but we serve clients globally. Our team works remotely to provide 24/7 support worldwide."""
"where are you located,ask_location,,""We are based in New York, USA, but we serve clients globally. Our team works remotely to provide 24/7 support worldwide."""
"your location,ask_location,,""We are based in New York, USA, but we serve clients globally. Our team works remotely to provide 24/7 support worldwide."""
"where is techrypt located,ask_location,,""We are based in New York, USA, but we serve clients globally. Our team works remotely to provide 24/7 support worldwide."""
"what is techrypt,ask_company_info,,""Techrypt.io is a leading technology company specializing in Website Development, Social Media Marketing, Branding Services, Chatbot Development, Automation Packages, and Payment Gateway Integration. We help businesses grow through innovative digital solutions."""
"about techrypt,ask_company_info,,""Techrypt.io is a leading technology company specializing in Website Development, Social Media Marketing, Branding Services, Chatbot Development, Automation Packages, and Payment Gateway Integration. We help businesses grow through innovative digital solutions."""
"tell me about your company,ask_company_info,,""Techrypt.io is a leading technology company specializing in Website Development, Social Media Marketing, Branding Services, Chatbot Development, Automation Packages, and Payment Gateway Integration. We help businesses grow through innovative digital solutions."""
"what services do you provide,ask_services,,""Here are our main services:"

1. ?? Website Development - Custom websites with SEO optimization
"2. ?? Social Media Marketing - Instagram, Facebook, LinkedIn growth"
"3. ?? Branding Services - Logo design, brand identity, marketing materials"
4. ?? Chatbot Development - AI-powered customer service automation
5. ? Automation Packages - Business process automation solutions
"6. ?? Payment Gateway Integration - Stripe, PayPal, and custom solutions"

"Which service interests you? Just type the number (1-6) or tell me what you need!"""
"list services,ask_services,,""Here are our main services:"

1. ?? Website Development - Custom websites with SEO optimization
"2. ?? Social Media Marketing - Instagram, Facebook, LinkedIn growth"
"3. ?? Branding Services - Logo design, brand identity, marketing materials"
4. ?? Chatbot Development - AI-powered customer service automation
5. ? Automation Packages - Business process automation solutions
"6. ?? Payment Gateway Integration - Stripe, PayPal, and custom solutions"

"Which service interests you? Just type the number (1-6) or tell me what you need!"""
"services,ask_services,,""Here are our main services:"

1. ?? Website Development - Custom websites with SEO optimization
"2. ?? Social Media Marketing - Instagram, Facebook, LinkedIn growth"
"3. ?? Branding Services - Logo design, brand identity, marketing materials"
4. ?? Chatbot Development - AI-powered customer service automation
5. ? Automation Packages - Business process automation solutions
"6. ?? Payment Gateway Integration - Stripe, PayPal, and custom solutions"

"Which service interests you? Just type the number (1-6) or tell me what you need!"""
"list down services,ask_services,,""Here are our main services:"

1. ?? Website Development - Custom websites with SEO optimization
"2. ?? Social Media Marketing - Instagram, Facebook, LinkedIn growth"
"3. ?? Branding Services - Logo design, brand identity, marketing materials"
4. ?? Chatbot Development - AI-powered customer service automation
5. ? Automation Packages - Business process automation solutions
"6. ?? Payment Gateway Integration - Stripe, PayPal, and custom solutions"

"Which service interests you? Just type the number (1-6) or tell me what you need!"""
"Do you create SEO-optimized websites?,ask_service,service_interest: website,""Absolutely, all our websites are built with SEO best practices in mind."""
"Do you help with Instagram growth?,ask_service,service_interest: social media,""Yes, our team can help optimize and grow your Instagram through targeted strategies and content."""
"What are your support hours?,ask_company_info,,""Our support is available Monday through Friday, 9 AM to 6 PM EST."""
"Can I see some of your past work?,ask_company_info,,Definitely. We have a portfolio of websites and automation projects that we'd be happy to show you."
"Is a chatbot included in your packages?,ask_capability,service_interest: chatbot,""Yes, we offer chatbot development as part of our automation packages."""
"What are your support hours?,ask_company_info,,""Our support is available Monday through Friday, 9 AM to 6 PM EST."""
"What are your support hours?,ask_company_info,,""Our support is available Monday through Friday, 9 AM to 6 PM EST."""
"Is there a free trial?,ask_pricing,,""We don't offer a trial, but our initial consultation is completely free to help you understand what we can do."""
"Is there a free trial?,ask_pricing,,""We don't offer a trial, but our initial consultation is completely free to help you understand what we can do."""
"Can we integrate payment gateways?,ask_capability,,""Yes, we integrate with popular payment gateways like Stripe and PayPal."""
"Can I see some of your past work?,ask_company_info,,Definitely. We have a portfolio of websites and automation projects that we'd be happy to show you."
"What are your support hours?,ask_company_info,,""Our support is available Monday through Friday, 9 AM to 6 PM EST."""
"How long does it take to launch a website?,ask_process,,It typically takes 2-4 weeks to launch depending on the scope. We move fast while ensuring quality."
"Do you support dental clinics?,ask_industry,business_type: dental clinic,""Yes, we specialize in solutions for dental clinics including appointment booking and patient reminder systems."""
"What are your support hours?,ask_company_info,,""Our support is available Monday through Friday, 9 AM to 6 PM EST."""
"How long does it take to launch a website?,ask_process,,It typically takes 2-4 weeks to launch depending on the scope. We move fast while ensuring quality."
"Is there a free trial?,ask_pricing,,""We don't offer a trial, but our initial consultation is completely free to help you understand what we can do."""
"Is there a free trial?,ask_pricing,,""We don't offer a trial, but our initial consultation is completely free to help you understand what we can do."""
"Do you help with Instagram growth?,ask_service,service_interest: social media,""Yes, our team can help optimize and grow your Instagram through targeted strategies and content."""
"Can I get a quote for your branding services?,ask_pricing,service_interest: branding,""Sure, we can give you a quote tailored to your branding needs. Let's discuss your goals and we'll send over a proposal."""
"How long does it take to launch a website?,ask_process,,It typically takes 2-4 weeks to launch depending on the scope. We move fast while ensuring quality."
"Can I get a quote for your branding services?,ask_pricing,service_interest: branding,""Sure, we can give you a quote tailored to your branding needs. Let's discuss your goals and we'll send over a proposal."""
"Do you help with Instagram growth?,ask_service,service_interest: social media,""Yes, our team can help optimize and grow your Instagram through targeted strategies and content."""
"What are your support hours?,ask_company_info,,""Our support is available Monday through Friday, 9 AM to 6 PM EST."""
"Can we integrate payment gateways?,ask_capability,,""Yes, we integrate with popular payment gateways like Stripe and PayPal."""
"Is there a free trial?,ask_pricing,,""We don't offer a trial, but our initial consultation is completely free to help you understand what we can do."""
