"user_message","business_type","intent","response"
"I have a cleaning business","cleaning_services","business_growth","Perfect! Cleaning businesses need local visibility and trust. I'd recommend: 1) Google My Business profile for local searches, 2) Professional website with online booking, 3) Before/after photo collection for social media, 4) Customer review management system. What's your biggest challenge - finding new customers or managing bookings?"
"What are your services","general","service_inquiry","Here are Techrypt's 6 core services:

• Website Development - Professional websites with SEO optimization

• Social Media Marketing - Strategic campaigns for Instagram, Facebook, LinkedIn

• Branding Services - Logo design, brand identity, and marketing materials

• Chatbot Development - AI-powered customer service automation

• Automation Packages - Business process automation solutions

• Payment Gateway Integration - Secure payment processing (Stripe, PayPal, etc.)

Which service would help your business most?"
"I have an egg selling business","food_agriculture","business_growth","Great! Food businesses need local presence and fresh product marketing. I'd recommend: 1) Simple website with product photos and contact info, 2) Social media marketing to showcase freshness and quality, 3) Local SEO optimization for 'fresh eggs near me' searches, 4) Customer communication system for orders. What's your main challenge - reaching new customers or managing orders?"
"I run a dental practice","healthcare","business_growth","Excellent! Healthcare practices need trust and compliance. For your dental practice, I'd recommend: 1) HIPAA-compliant website with patient portal, 2) Online appointment booking system, 3) Patient review management, 4) Educational content marketing, 5) Local SEO for dental searches. What's your priority - attracting new patients or improving patient experience?"
"I sell handmade pottery","crafts","business_growth","Wonderful! Craft businesses thrive on visual storytelling and personal connection. For your pottery business, I'd recommend: 1) Professional website with high-quality product photos, 2) Instagram and Pinterest marketing to showcase your work, 3) Online store with secure payment processing, 4) Local craft fair and market presence, 5) Custom order management system. What's your biggest challenge - reaching customers or managing orders?"
"I run a landscaping business","landscaping_gardening","business_growth","Great! Landscaping businesses need visual marketing and seasonal engagement. I'd recommend: 1) Website with project galleries and seasonal services, 2) Social media for before/after transformations, 3) Online estimate requests, 4) Seasonal service reminders, 5) Local SEO optimization. Do you focus on design, maintenance, or both?"
"I have a security company","security_services","business_growth","Excellent! Security businesses need credibility and professional presence. For your security company, I'd recommend: 1) Professional website with certifications and services, 2) Secure client communication systems, 3) Service area coverage maps, 4) Emergency contact systems, 5) Case studies and testimonials. What security services do you provide?"
"I have a tea shop","retail_food","business_growth","Perfect! Specialty food retail needs community building and product education. For your tea shop, I'd recommend: 1) E-commerce website with detailed product descriptions, 2) Educational content about tea varieties and brewing, 3) Social media for tea culture and community, 4) Loyalty program for regular customers, 5) Local events and tea tastings. What's your specialty - loose leaf, blends, or accessories?"
"I sell traditional crafts","crafts","business_growth","Wonderful! Traditional craft businesses need cultural storytelling and authenticity marketing. I'd recommend: 1) Website highlighting the cultural significance and craftsmanship, 2) Social media showcasing the creation process, 3) Online marketplace presence (Etsy, Amazon Handmade), 4) Cultural event participation, 5) Custom order and personalization options. What traditional crafts do you specialize in?"
"I have a business","general","general_help","I'd love to help you grow your business with personalized digital solutions! What type of business do you have? This helps me recommend the most relevant services - whether you need a website, social media marketing, branding, chatbot development, automation, or payment processing."
