business_type,service_1,service_2,industry_focus
technology,Website Development,Chatbot Development,B2B Solutions
startup,Branding Services,Website Development,Digital Transformation
enterprise,Automation Packages,Payment Gateway Integration,Business Process
software,Website Development,Social Media Marketing,Tech Companies
digital_agency,Branding Services,Automation Packages,Creative Services
consulting,Website Development,Chatbot Development,Professional Services
ecommerce,Payment Gateway Integration,Website Development,Online Business
saas,Chatbot Development,Automation Packages,Software Solutions
fintech,Payment Gateway Integration,Website Development,Financial Technology
edtech,Website Development,Chatbot Development,Educational Technology
